antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ALL FAMILY CEREAL'}),frozenset({'FLUID MILK WHITE ONLY'}),0.04833552755313147,0.2925521910851984,0.0315027271017491,0.6517509727626458,2.2278109432201787,1.0,0.01736206260882151,2.0314423116324463,0.5791209958114564,0.10182370820668692,0.5077389132471056,0.37971669499591626
frozenset({'KIDS CEREAL'}),frozenset({'FLUID MILK WHITE ONLY'}),0.060936618393831105,0.2925521910851984,0.038273462478841454,0.6280864197530864,2.1469209217789524,1.0,0.02044632125040356,1.902183320235649,0.5688824304886794,0.1214200477326969,0.4742883141903923,0.3794562603426313
frozenset({'DAIRY CASE 100% PURE JUICE - O'}),frozenset({'FLUID MILK WHITE ONLY'}),0.0726913673123942,0.2925521910851984,0.042599210080872675,0.5860284605433377,2.003158678694263,1.0,0.021333191300652782,1.7089286134098176,0.5400450366048338,0.13203147770329354,0.41483804990267886,0.3658204019206563
frozenset({'EGGS - LARGE'}),frozenset({'FLUID MILK WHITE ONLY'}),0.060936618393831105,0.2925521910851984,0.034794056798946774,0.5709876543209876,1.9517462925263203,1.0,0.01696691557050888,1.6490150366071632,0.5192815888189412,0.10917674830333432,0.39357739147273463,0.3449602366751193
frozenset({'MAINSTREAM WHEAT/MULTIGRAIN BR'}),frozenset({'FLUID MILK WHITE ONLY'}),0.06545044197855934,0.2925521910851984,0.03573443671243182,0.5459770114942528,1.8662550756123062,1.0,0.01658676650410964,1.5581761867237398,0.49667517556216967,0.11088415523781732,0.35822405160572707,0.33406211551890397
frozenset({'MAINSTREAM WHITE BREAD'}),frozenset({'FLUID MILK WHITE ONLY'}),0.13024261801767914,0.2925521910851984,0.06921196163249953,0.5314079422382672,1.81645517767976,1.0,0.031109198358754954,1.509730686204931,0.5167845701297907,0.1957446808510638,0.33763020839581726,0.3839939100455238
frozenset({'BANANAS'}),frozenset({'FLUID MILK WHITE ONLY'}),0.1433138988151213,0.2925521910851984,0.07372578521722777,0.5144356955380578,1.7584407542114133,1.0,0.031798990105901606,1.4569600821434563,0.5034683796680034,0.2035834848091405,0.3136393973616518,0.38322234792974896
