antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'MEAT', ' '})",frozenset({'GROCERY'}),0.014052838673412029,0.9477234401349073,0.014052838673412029,1.0,1.0551601423487544,1.0,0.0007346340621851143,inf,0.05302166476624856,0.014827995255041517,1.0,0.5074139976275207
"frozenset({'MEAT', 'SEAFOOD-PCKGD'})",frozenset({'GROCERY'}),0.025632377740303542,0.9477234401349073,0.025632377740303542,1.0,1.0551601423487544,1.0,0.0013399725294256475,inf,0.05365178262374518,0.02704626334519573,1.0,0.5135231316725979
"frozenset({'MEAT-PCKGD', 'SEAFOOD-PCKGD'})",frozenset({'GROCERY'}),0.02866779089376054,0.9477234401349073,0.02866779089376054,1.0,1.0551601423487544,1.0,0.0014986534868576332,inf,0.053819444444444434,0.030249110320284697,1.0,0.5151245551601423
"frozenset({'MEAT', 'PRODUCE', ' '})",frozenset({'GROCERY'}),0.011579539066891511,0.9477234401349073,0.011579539066891511,1.0,1.0551601423487544,1.0,0.0006053384672405331,inf,0.052888989990900706,0.01221826809015421,1.0,0.5061091340450771
"frozenset({'NUTRITION', 'DRUG GM', 'DELI'})",frozenset({'GROCERY'}),0.01551433389544688,0.9477234401349073,0.01551433389544688,1.0,1.0551601423487544,1.0,0.0008110360046523664,inf,0.05310037684138404,0.016370106761565834,1.0,0.5081850533807829
"frozenset({'MEAT', 'NUTRITION', 'DRUG GM'})",frozenset({'GROCERY'}),0.02214727374929736,0.9477234401349073,0.02214727374929736,1.0,1.0551601423487544,1.0,0.0011577832820037388,inf,0.05346056564727516,0.023368920521945433,1.0,0.5116844602609727
"frozenset({'MEAT', 'PASTRY', 'DRUG GM'})",frozenset({'GROCERY'}),0.03316469926925239,0.9477234401349073,0.03316469926925239,1.0,1.0551601423487544,1.0,0.0017337363867568692,inf,0.05406976744186043,0.03499406880189798,1.0,0.517497034400949
"frozenset({'MEAT', 'DRUG GM', 'SEAFOOD-PCKGD'})",frozenset({'GROCERY'}),0.01517706576728499,0.9477234401349073,0.01517706576728499,1.0,1.0551601423487544,1.0,0.0007934047871599233,inf,0.053082191780821894,0.016014234875444837,1.0,0.5080071174377224
"frozenset({'MEAT-PCKGD', 'DRUG GM', 'NUTRITION'})",frozenset({'GROCERY'}),0.023159078133783022,0.9477234401349073,0.023159078133783022,1.0,1.0551601423487544,1.0,0.0012106769344810663,inf,0.053515939693865706,0.02443653618030842,1.0,0.5122182680901542
"frozenset({'MEAT-PCKGD', 'DRUG GM', 'SEAFOOD-PCKGD'})",frozenset({'GROCERY'}),0.01765036537380551,0.9477234401349073,0.01765036537380551,1.0,1.0551601423487544,1.0,0.0009227003821045028,inf,0.05321583886472871,0.018623962040332145,1.0,0.5093119810201661
"frozenset({'MEAT-PCKGD', 'MEAT', 'SEAFOOD-PCKGD'})",frozenset({'GROCERY'}),0.0178752107925801,0.9477234401349073,0.0178752107925801,1.0,1.0551601423487544,1.0,0.000934454527099466,inf,0.053228021978022,0.01886120996441281,1.0,0.5094306049822064
"frozenset({'MEAT', 'PRODUCE', 'SEAFOOD-PCKGD'})",frozenset({'GROCERY'}),0.01967397414277684,0.9477234401349073,0.01967397414277684,1.0,1.0551601423487544,1.0,0.001028487687059161,inf,0.05332568807339454,0.020759193357058125,1.0,0.5103795966785291
"frozenset({'MEAT-PCKGD', 'PRODUCE', 'SEAFOOD-PCKGD'})",frozenset({'GROCERY'}),0.02237211916807195,0.9477234401349073,0.02237211916807195,1.0,1.0551601423487544,1.0,0.001169537426998702,inf,0.05347286108555656,0.0236061684460261,1.0,0.511803084223013
"frozenset({'MEAT-PCKGD', 'MEAT', 'DRUG GM', 'DELI'})",frozenset({'GROCERY'}),0.027993254637436762,0.9477234401349073,0.027993254637436762,1.0,1.0551601423487544,1.0,0.001463391051872747,inf,0.05378209576682855,0.029537366548042704,1.0,0.5147686832740214
"frozenset({'PASTRY', 'MEAT', 'DRUG GM', 'DELI'})",frozenset({'GROCERY'}),0.013265879707700956,0.9477234401349073,0.013265879707700956,1.0,1.0551601423487544,1.0,0.0006934945547027484,inf,0.05297937791956252,0.013997627520759193,1.0,0.5069988137603796
